1P,PWOP2P0C,PWOP3P0C,PWOP3P1C,PWOP4P0C,PWOP4P1C,PWOP4P2C,PWOP5P0C,PWOP5P1C,PWOP5P2C,PWOP5P3C,PWOP6P0C,PWOP6P1C,PWOP6P2C,PWOP6P3C,2PWOP4P0C,2PWOP5P0C,2PWOP5P1C,2PWOP6P0C,2PWOP6P1C,2PWOP6P2C,SMWC2P0C,SMWC2P1C,SMWC3P0C,SMWC3P1C,SMWC3P2C,SMWC4P0C,SMWC4P1C,SMWC4P2C,SMWC4P3C,SFWC2P0C,SFWC2P1C,SFWC3P0C,SFWC3P1C,SFWC3P2C,SPWCWP3P0C,SPWCWP3P1C,SPWCWP4P0C,SPWCWP4P1C,SPWCWP4P2C,SPWCWPWOP3P0C,SPWCWPWOP3P1C,SPWCWPWOP4P0C,SPWCWPWOP4P1C,SPWCWPWOP4P2C,SPWCWPWOP5P0C,SPWCWPWOP5P1C,SPWCWPWOP5P2C,O2P0C,O2P1C,O3P0C,O3P1C,O3P2C,O4P0C,O4P1C,O4P2C,O4P3C,O5P0C,O5P1C,O5P2C,O5P3C,O6P0C,O6P1C,O6P2C,O6P3C
7723,4166,3346,2246,1837,1542,1527,482,571,570,312,78,92,142,249,331,333,690,184,232,326,2108,726,286,128,222,14,8,14,44,391,187,56,22,41,402,522,63,48,110,272,150,132,135,50,60,24,27,1826,132,349,52,10,151,80,15,1,80,17,25,4,114,15,11,18
3267,1458,975,973,418,343,426,98,90,85,61,19,17,24,27,89,33,101,34,39,45,444,197,83,34,64,8,4,6,7,104,27,21,4,7,97,132,16,4,18,79,49,24,18,12,2,8,7,479,25,115,13,3,34,18,4,1,4,8,13,2,0,3,3,2
43891,10413,7675,3128,3638,2714,1685,506,991,619,204,106,207,318,208,539,278,388,97,202,197,4573,1978,682,337,501,41,29,34,54,1186,781,161,71,171,732,1296,87,78,220,972,456,428,493,138,89,113,90,6081,365,1201,196,39,320,307,57,6,59,89,93,9,22,23,44,40
4937,947,819,492,407,440,282,73,184,119,42,30,32,83,46,63,34,94,24,39,55,557,205,104,33,52,6,8,5,4,104,44,20,10,11,96,179,8,13,31,140,88,82,83,23,16,23,16,859,41,299,23,4,124,52,8,0,100,14,10,4,104,10,15,12
13265,4202,3742,2347,1873,1646,1125,394,557,438,161,177,173,213,155,182,110,233,76,110,125,2812,966,341,163,277,11,7,12,33,536,391,58,34,85,394,841,61,53,176,844,481,620,590,152,149,131,94,5792,547,2602,294,128,1739,284,60,16,454,105,56,11,358,37,47,33
8842,2710,2478,1250,1519,1042,704,262,314,212,84,137,114,141,80,137,89,116,70,87,98,1648,766,279,94,237,22,9,19,35,439,368,78,24,94,259,541,35,36,123,305,204,234,199,86,58,62,40,2300,217,785,205,85,461,204,106,27,358,117,89,26,524,76,60,66
19188,5716,5328,3516,2407,2381,1978,456,837,628,296,85,193,352,264,227,129,373,104,233,262,4055,1854,623,263,481,29,23,33,66,821,668,124,44,125,602,1299,61,63,226,699,416,275,426,123,65,95,103,3591,247,913,211,49,418,351,99,2,151,122,100,15,139,54,62,72
17559,7174,8317,5446,4703,4104,3472,762,1585,1115,617,131,373,642,497,408,297,798,225,595,558,5038,2822,1089,380,907,94,56,57,151,930,805,217,68,264,577,1704,107,88,330,866,632,364,508,183,93,101,105,4511,508,1392,448,184,492,615,167,39,89,220,206,48,83,55,105,118
7563,1252,1338,705,639,553,375,151,213,141,57,27,69,81,53,95,54,82,52,57,76,895,392,139,57,109,9,8,7,13,251,142,31,14,39,156,299,20,20,57,200,121,115,111,33,19,20,27,1135,73,318,61,14,100,66,16,1,29,35,31,4,45,6,8,21
6417,3062,2613,1576,1272,1157,730,262,513,329,109,140,169,215,116,158,127,235,126,189,167,2045,650,280,102,117,18,7,12,10,341,184,62,11,34,307,479,36,28,78,393,192,206,210,51,41,76,48,1918,123,609,152,25,337,205,59,5,109,107,65,10,149,69,47,24
10123,4003,3715,2234,1669,1655,857,289,489,360,86,42,79,141,97,340,178,288,60,116,114,2276,1043,337,125,243,22,8,13,23,627,377,109,29,91,514,924,58,50,150,537,272,200,237,65,43,41,34,2771,254,748,204,32,238,199,54,5,46,78,79,8,8,21,24,29
5898,2743,3060,1497,1996,1520,787,411,627,376,120,149,219,265,177,191,134,189,163,179,169,2126,709,317,126,164,19,16,19,19,488,279,80,35,75,365,639,52,32,152,570,346,386,390,104,107,99,86,2788,159,1106,268,37,554,355,102,7,120,155,89,17,82,50,49,56
6284,1836,2113,981,1392,923,528,246,386,214,85,87,119,188,120,97,57,89,95,103,92,1786,733,276,128,183,31,17,19,18,408,317,77,34,73,277,550,47,31,93,370,213,280,265,77,52,74,73,2007,156,534,169,24,345,284,55,1,41,80,69,9,45,29,29,38
23069,3172,2451,1259,1292,1004,641,283,401,292,139,151,179,256,199,126,90,159,73,81,96,1614,617,200,78,163,20,12,3,19,501,310,78,21,62,311,485,27,46,106,465,298,334,341,92,120,124,94,3166,480,981,293,105,509,248,91,19,258,100,55,11,138,55,51,69
7662,2763,2368,941,991,870,522,247,333,253,121,46,84,113,117,83,74,136,45,61,93,1704,450,216,91,149,6,10,9,18,452,187,43,24,59,323,383,35,36,82,379,191,186,164,56,72,59,35,2610,209,758,127,61,374,96,38,10,208,25,32,11,714,60,34,38
12830,3654,3458,1959,1668,1587,942,355,523,408,124,104,168,205,145,204,95,202,71,117,111,2063,882,259,120,200,5,9,11,26,436,333,50,25,53,390,728,38,55,136,764,433,410,492,105,99,122,85,5040,489,1562,343,82,813,315,95,10,136,127,73,7,529,39,36,31
26506,6786,4820,2831,2071,1840,1519,352,626,561,210,51,116,225,176,230,165,284,89,161,192,3292,1169,433,148,266,27,13,31,40,831,329,122,43,80,579,888,66,68,171,543,275,264,284,75,68,39,55,3866,237,877,129,36,371,197,45,22,102,63,55,8,731,23,31,36
6290,1995,1719,1043,785,886,534,157,333,295,121,44,74,120,173,91,58,178,56,94,146,1634,577,189,74,134,7,11,9,28,336,196,29,19,52,223,452,20,17,73,286,170,112,151,36,25,26,30,1930,139,365,67,20,91,92,38,1,34,34,39,4,586,38,27,18
6868,2691,2935,1137,1566,1010,631,300,360,255,103,130,109,121,137,180,86,84,102,71,92,2290,705,332,109,245,42,17,14,43,555,331,99,45,105,417,680,67,53,148,381,221,244,238,64,62,50,54,2256,176,621,184,50,308,228,69,7,100,54,50,9,157,23,32,40
14145,2988,2453,1690,1168,918,1060,259,248,240,181,80,92,91,96,116,82,120,69,66,53,1406,594,183,96,150,9,7,9,17,256,140,61,25,45,241,412,25,29,59,260,145,127,142,55,35,29,41,2042,238,577,141,63,176,115,52,7,123,60,41,12,109,16,15,16
7703,4509,4507,1967,2137,1953,1187,388,753,525,172,99,182,267,179,266,209,397,135,197,268,2712,815,401,151,217,23,15,20,36,539,250,79,34,64,520,889,82,70,167,622,282,332,335,79,94,85,72,2892,143,804,138,23,369,231,72,19,73,99,95,11,1030,42,62,37
18180,4796,3507,2174,1473,1362,1226,301,353,339,176,74,57,112,99,275,146,308,79,111,159,2047,937,263,137,241,14,10,14,20,415,245,74,12,51,342,549,44,38,122,285,151,93,126,27,23,17,14,2425,172,570,150,37,223,241,84,8,59,109,81,20,20,2,10,32
13299,6070,6547,2927,3432,3038,1664,658,1137,939,295,136,290,425,263,588,391,790,269,383,470,3394,1056,605,182,295,31,20,16,43,655,368,115,33,90,639,1258,83,95,236,733,338,386,395,95,97,105,105,3013,224,993,234,44,402,442,94,9,76,175,147,22,18,49,74,80
11192,5093,4138,2818,2189,2172,1833,552,778,716,308,269,250,403,272,351,220,548,374,469,623,2716,1180,438,161,336,33,29,15,57,471,331,73,17,76,351,833,48,62,164,412,306,217,285,81,93,71,58,2301,166,692,95,16,469,194,38,1,300,74,70,7,481,39,38,49
7247,2417,2562,1522,1611,1548,980,320,633,503,177,81,151,212,147,190,163,376,166,255,220,1821,650,355,122,177,23,14,15,30,289,147,59,29,45,333,647,36,82,127,316,225,180,221,57,39,50,48,1412,103,298,63,10,140,185,18,0,25,65,49,6,95,23,37,17
3546,2341,3266,1486,2463,1544,728,872,775,488,113,377,314,360,190,381,401,471,335,437,364,1110,426,284,77,136,28,13,10,9,279,116,72,22,16,229,431,54,24,79,462,192,333,248,55,123,75,47,1881,56,794,47,17,408,142,18,1,115,60,51,4,122,37,38,50
7058,3024,3042,1368,1607,1304,721,281,522,347,102,72,149,179,151,99,96,180,73,107,126,2550,917,393,148,277,20,17,18,42,520,378,75,36,104,440,849,53,34,181,639,335,281,357,107,71,66,68,2444,162,622,133,32,205,227,50,5,59,72,78,8,15,29,45,43
5203,1814,1479,898,738,699,461,144,259,235,89,32,82,116,136,69,64,104,54,84,76,960,409,125,62,125,14,9,5,21,192,125,30,17,41,193,289,27,27,78,219,162,98,118,47,40,24,32,1003,110,362,95,29,145,108,32,5,23,23,22,2,17,13,34,28
4225,3309,4282,2066,3052,2116,1034,717,1076,712,157,286,376,470,251,535,520,701,388,469,467,1948,628,404,130,208,32,11,18,21,383,234,87,32,68,392,823,61,46,201,575,238,354,400,90,128,121,99,1642,116,520,81,32,242,264,36,6,63,106,104,10,72,70,64,90
7899,2562,3214,940,2161,856,492,407,409,209,61,173,160,180,109,223,137,189,108,147,115,1605,424,363,87,107,24,5,8,8,380,156,84,14,26,235,331,37,15,51,416,136,237,172,33,68,29,45,1556,60,444,62,13,171,107,21,3,62,36,31,2,51,17,35,24
7196,2722,2686,1430,1291,1155,791,237,384,352,88,60,89,124,88,104,94,200,50,123,118,2211,849,334,125,211,20,23,22,24,441,293,75,27,80,395,747,43,46,131,358,187,150,206,42,30,30,39,1773,110,291,55,15,80,155,19,1,18,57,47,7,85,8,32,16
4894,3263,3825,1949,2483,1884,1099,624,754,606,165,249,218,371,183,414,321,493,325,353,392,1757,591,327,121,186,23,16,16,36,411,214,68,24,67,575,761,90,58,189,514,239,284,338,89,100,78,83,1991,131,620,101,23,320,248,31,13,118,104,74,20,75,40,70,47
6986,3154,2578,1848,1717,1155,967,476,394,392,177,102,94,109,121,203,240,296,121,130,149,1735,675,246,80,197,14,9,10,20,301,166,44,14,43,258,437,44,32,98,265,149,132,134,33,27,18,35,1301,62,270,30,7,87,91,11,1,29,28,26,4,58,8,12,43
5499,3257,2803,1485,1359,1211,785,314,483,342,96,128,158,176,95,111,54,212,56,104,143,2008,548,273,101,129,16,9,7,15,254,110,42,6,27,283,538,27,36,117,355,164,359,256,43,165,75,67,2826,122,3782,112,20,2932,196,27,2,2968,112,56,5,1737,25,47,40
7434,3446,3549,3600,1799,1571,743,302,688,353,94,116,214,225,131,132,92,264,71,145,189,2209,615,384,110,127,27,8,10,14,346,163,72,16,40,296,677,31,40,105,687,205,270,312,52,65,93,74,3267,110,13910,201,22,729,224,41,3,177,82,68,12,150,29,47,27
23255,7743,4587,1767,1524,1287,731,253,400,336,100,52,83,123,92,186,101,221,53,111,119,2990,2571,388,125,155,17,12,15,18,670,345,87,20,36,526,715,48,45,133,484,373,213,236,65,50,55,43,3707,138,981,83,13,263,178,36,4,93,83,67,9,61,21,26,20
10495,3086,2988,1230,1282,1242,670,885,1188,415,105,54,113,1149,153,114,115,234,66,123,151,1944,745,470,153,150,14,14,9,22,350,165,51,22,36,352,860,28,34,116,495,203,290,246,47,36,84,49,2833,90,4498,79,7,184,182,31,1,39,205,65,5,20,32,46,35
5055,3350,3680,2199,2223,2464,1353,526,832,746,201,98,197,249,200,471,251,625,139,259,309,1830,768,298,128,253,20,15,16,26,354,207,73,19,60,432,800,80,71,221,466,257,255,291,96,66,76,58,1943,146,501,94,47,208,191,33,1,58,59,63,14,115,17,34,34
12857,4036,6556,2984,1902,1805,979,259,663,452,139,107,123,206,186,190,123,316,69,169,166,3038,1166,670,244,852,26,7,12,46,665,410,156,32,153,656,1751,59,70,194,683,320,209,308,98,50,75,69,2844,176,2356,98,20,327,229,39,5,135,95,70,7,586,19,46,58
3140,1305,1145,384,558,409,190,133,173,110,31,51,50,55,47,72,68,76,43,51,40,574,175,70,25,44,3,2,8,15,210,89,20,4,20,107,144,8,8,23,126,49,52,48,13,7,9,8,764,69,164,17,6,32,21,6,1,4,6,7,1,8,7,7,8
10483,4519,4155,2319,1909,1435,1132,405,548,417,191,87,109,172,149,202,141,260,96,147,186,2497,904,377,167,250,25,14,12,26,582,265,107,30,67,465,636,66,52,121,445,218,278,238,63,67,45,64,2341,123,599,108,24,285,144,23,13,194,79,43,14,89,33,18,34
3807,1876,1568,846,782,614,446,144,178,163,72,30,41,69,64,130,76,125,53,53,73,1005,259,127,41,62,12,4,8,11,190,82,32,12,19,186,211,20,17,50,179,84,86,54,23,19,10,11,1183,54,350,35,2,92,54,9,2,27,10,11,4,34,5,9,10
11161,6300,4713,4263,1272,1263,957,225,419,319,512,38,78,147,113,133,99,195,50,81,96,2127,663,299,113,196,17,14,11,27,404,268,45,22,50,338,602,41,47,102,377,216,142,213,48,28,39,41,2059,82,484,63,14,144,148,14,1,27,53,45,3,22,14,14,19
16234,8401,7826,2324,1961,1899,1218,322,650,559,174,43,134,188,156,241,120,358,87,143,236,4745,1180,687,181,287,46,16,17,33,1001,377,142,34,74,700,1127,68,97,179,706,301,246,324,78,54,64,68,4994,384,1206,387,74,308,340,102,9,75,109,94,28,31,30,41,48
5106,1743,1653,924,906,668,444,247,321,236,91,129,126,197,156,90,79,127,76,129,156,1162,455,185,70,126,9,9,10,15,228,114,32,17,37,189,324,22,20,48,298,132,152,170,46,66,56,61,1184,91,338,64,10,111,102,18,1,72,48,33,2,49,41,36,29
6521,1648,1338,860,773,561,504,211,253,192,119,88,86,105,95,64,75,182,76,110,83,900,254,144,45,94,11,9,4,17,212,94,25,11,16,150,161,24,16,40,170,80,91,78,25,27,25,21,891,54,282,60,4,138,62,15,0,76,17,19,1,101,13,13,14
3549,1249,1195,643,603,510,316,133,202,152,62,23,44,65,55,90,56,129,44,72,92,829,273,137,50,79,7,3,7,11,167,112,24,10,25,159,296,13,20,59,168,106,85,87,28,16,16,13,728,38,182,19,7,72,59,12,1,11,22,18,0,9,9,9,16
7505,2946,2025,906,1008,669,541,256,259,192,76,101,85,75,98,155,93,132,85,92,98,1569,358,177,59,97,10,2,5,21,378,89,52,16,26,220,276,23,22,52,260,89,135,90,25,47,24,19,1407,45,269,35,5,120,77,10,1,75,27,17,5,39,12,11,5
9413,5139,3906,1300,1259,924,565,224,287,211,95,70,60,92,69,219,140,171,89,66,65,2146,578,221,93,118,7,7,15,14,513,167,72,24,34,375,436,49,21,73,370,149,167,136,35,47,23,35,2961,98,728,88,14,202,126,27,1,73,47,34,2,48,27,22,11
12293,5056,4213,2123,2203,1712,1126,610,720,509,244,263,238,254,244,329,269,269,168,211,171,2795,930,330,141,248,24,15,12,40,611,319,89,43,87,405,654,58,34,105,547,293,272,262,90,80,73,64,3327,166,743,109,10,275,143,35,3,89,72,50,8,52,19,39,29
5798,2189,1852,1525,811,950,704,136,276,292,111,32,58,92,110,141,90,178,46,76,122,1247,548,171,72,170,6,2,5,20,209,130,24,9,33,226,361,21,25,79,182,123,85,109,45,9,19,19,1485,136,339,129,23,127,115,43,1,41,39,39,3,58,15,20,25
4970,2254,2412,890,1489,725,442,249,258,179,72,72,52,68,62,210,200,115,102,54,54,1471,458,217,85,107,9,9,6,21,306,146,45,18,35,220,310,44,23,55,257,114,168,116,33,34,31,22,1370,58,261,38,8,103,82,7,1,37,26,20,3,79,7,9,14
10507,4951,4339,2363,2281,1762,1283,552,594,556,196,134,151,215,157,305,233,388,155,196,223,2704,935,368,178,273,34,17,18,27,548,306,74,35,54,476,752,99,62,176,498,241,249,233,62,63,51,48,2436,119,461,57,28,227,141,28,5,30,67,42,4,13,10,14,36
7073,3126,2324,1350,992,913,1310,297,424,414,176,90,141,190,244,131,169,305,185,307,343,1667,563,189,93,159,16,7,17,28,348,147,37,15,36,255,379,34,37,105,222,109,97,101,37,35,29,25,1341,63,245,26,12,76,67,9,0,16,24,26,3,25,14,15,16
5139,2625,1959,1666,771,828,1001,114,238,274,215,33,70,109,138,88,72,170,74,99,146,1341,586,164,70,157,8,6,10,12,230,127,35,18,36,198,316,24,25,63,182,112,62,73,22,17,13,20,966,50,261,43,10,79,58,5,1,16,18,28,0,8,4,7,10
