District,Households,Process_4,Process_5,Process_6
55,102635,0,0,0
60,86860,1,1,1
69,66034,2,2,2
59,64893,3,3,3
96,64226,3,4,4
50,61930,2,4,5
75,61359,1,3,5
34,59847,0,2,4
41,59454,0,1,3
88,59217,1,0,2
48,55894,2,0,1
11,55855,3,1,0
6,54840,3,2,0
57,53713,2,3,1
15,53634,1,4,2
13,52837,0,4,3
91,52714,0,3,4
87,51055,1,2,5
76,48908,2,1,5
12,48692,3,0,4
66,48316,3,0,3
17,48207,2,1,2
4,47530,1,2,1
3,47349,0,3,0
102,46882,0,4,0
1,46461,1,4,1
68,46362,2,3,2
74,45798,3,2,3
49,45069,3,1,4
16,44983,2,0,5
105,43772,1,0,5
44,42372,0,1,4
31,42076,0,2,3
95,42064,1,3,2
73,41957,2,4,1
52,41498,3,4,0
93,41146,3,3,0
89,41066,2,2,1
63,40106,1,1,2
51,39809,0,0,3
18,39783,0,0,4
23,39447,1,1,5
26,38829,2,2,5
81,38170,3,3,4
86,38062,3,4,3
37,36378,2,4,2
90,36031,1,3,1
53,35965,0,2,0
84,35924,0,1,0
5,35244,1,0,1
7,35155,2,0,2
30,35121,3,1,3
33,35040,3,2,4
101,34694,2,3,5
72,34473,1,4,5
64,34436,0,4,4
20,33883,0,3,3
79,33687,1,2,2
22,33319,2,1,1
46,33081,3,0,0
29,32916,3,0,0
45,32555,2,1,1
8,31904,1,2,2
58,31783,0,3,3
2,30734,0,4,4
71,30692,1,4,5
24,30492,2,3,5
19,30271,3,2,4
77,29995,3,1,3
78,29798,2,0,2
62,29437,1,0,1
83,29154,0,1,0
10,28978,0,2,0
25,28944,1,3,1
85,28574,2,4,2
82,28419,3,4,3
67,27919,3,3,4
106,27202,2,2,5
39,26845,1,1,5
9,26597,0,0,4
43,26370,0,0,3
65,26318,1,1,2
36,25947,2,2,1
21,25714,3,3,0
14,25060,3,4,0
27,24636,2,4,1
35,24605,1,3,2
100,23631,0,2,3
28,23353,0,1,4
70,22970,1,0,5
103,22060,2,0,5
104,21306,3,1,4
107,21300,3,2,3
40,20891,2,3,2
32,20407,1,4,1
97,19733,0,4,0
47,19700,0,3,0
61,18826,1,2,1
98,18308,2,1,2
80,18290,3,0,3
94,15858,3,0,4
42,14739,2,1,5
99,13254,1,2,5
56,12742,0,3,4
92,11090,0,4,3
54,10819,1,4,2
38,10476,2,3,1