District,Process_4,Process_5,Process_6
60,0,0,0
55,1,1,1
75,2,2,2
50,3,3,3
41,3,4,4
59,2,4,5
96,1,3,5
34,0,2,4
48,0,1,3
69,1,0,2
87,2,0,1
11,3,1,0
6,3,2,0
57,2,3,1
76,1,4,2
91,0,4,3
49,0,3,4
88,1,2,5
81,2,1,5
15,3,0,4
12,3,0,3
102,2,1,2
3,1,2,1
44,0,3,0
1,0,4,0
73,1,4,1
68,2,3,2
105,3,2,3
86,3,1,4
13,2,0,5
84,1,0,5
89,0,1,4
16,0,2,3
90,1,3,2
18,2,4,1
93,3,4,0
95,3,3,0
51,2,2,1
74,1,1,2
52,0,0,3
66,0,0,4
4,1,1,5
63,2,2,5
53,3,3,4
23,3,4,3
64,2,4,2
78,1,3,1
26,0,2,0
5,0,1,0
22,1,0,1
46,2,0,2
79,3,1,3
17,3,2,4
8,2,3,5
77,1,4,5
33,0,4,4
7,0,3,3
101,1,2,2
58,2,1,1
30,3,0,0
45,3,0,0
71,2,1,1
29,1,2,2
62,0,3,3
24,0,4,4
37,1,4,5
31,2,3,5
25,3,2,4
72,3,1,3
85,2,0,2
10,1,0,1
2,0,1,0
83,0,2,0
82,1,3,1
106,2,4,2
20,3,4,3
19,3,3,4
65,2,2,5
67,1,1,5
36,0,0,4
35,0,0,3
21,1,1,2
39,2,2,1
9,3,3,0
14,3,4,0
70,2,4,1
43,1,3,2
100,0,2,3
103,0,1,4
28,1,0,5
104,2,0,5
107,3,1,4
32,3,2,3
40,2,3,2
97,1,4,1
47,0,4,0
27,0,3,0
80,1,2,1
98,2,1,2
61,3,0,3
94,3,0,4
42,2,1,5
99,1,2,5
56,0,3,4
92,0,4,3
54,1,4,2
38,2,3,1