District,Process_4,Process_6
60,0,0
55,1,1
75,2,2
50,3,3
41,3,4
59,2,5
96,1,5
34,0,4
48,0,3
69,1,2
87,2,1
11,3,0
6,3,0
57,2,1
76,1,2
91,0,3
49,0,4
88,1,5
81,2,5
15,3,4
12,3,3
102,2,2
3,1,1
44,0,0
1,0,0
73,1,1
68,2,2
105,3,3
86,3,4
13,2,5
84,1,5
89,0,4
16,0,3
90,1,2
18,2,1
93,3,0
95,3,0
51,2,1
74,1,2
52,0,3
66,0,4
4,1,5
63,2,5
53,3,4
23,3,3
64,2,2
78,1,1
26,0,0
5,0,0
22,1,1
46,2,2
79,3,3
17,3,4
8,2,5
77,1,5
33,0,4
7,0,3
101,1,2
58,2,1
30,3,0
45,3,0
71,2,1
29,1,2
62,0,3
24,0,4
37,1,5
31,2,5
25,3,4
72,3,3
85,2,2
10,1,1
2,0,0
83,0,0
82,1,1
106,2,2
20,3,3
19,3,4
65,2,5
67,1,5
36,0,4
35,0,3
21,1,2
39,2,1
9,3,0
14,3,0
70,2,1
43,1,2
100,0,3
103,0,4
28,1,5
104,2,5
107,3,4
32,3,3
40,2,2
97,1,1
47,0,0
27,0,0
80,1,1
98,2,2
61,3,3
94,3,4
42,2,5
99,1,5
56,0,4
92,0,3
54,1,2
38,2,1